SysNo,ProvinceSysNo,CitySysNo,ProvinceName,CityName,DistrictName,
56,20,NULL,河北省,张家口市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (56,20,NULL,'河北省','张家口市','NULL');"
57,20,NULL,河北省,承德市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (57,20,NULL,'河北省','承德市','NULL');"
58,20,NULL,河北省,沧州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (58,20,NULL,'河北省','沧州市','NULL');"
59,20,NULL,河北省,廊坊市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (59,20,NULL,'河北省','廊坊市','NULL');"
60,20,NULL,河北省,衡水市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (60,20,NULL,'河北省','衡水市','NULL');"
61,21,NULL,山西省,太原市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (61,21,NULL,'山西省','太原市','NULL');"
62,21,NULL,山西省,大同市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (62,21,NULL,'山西省','大同市','NULL');"
64,21,NULL,山西省,长治市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (64,21,NULL,'山西省','长治市','NULL');"
84,23,NULL,辽宁省,沈阳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (84,23,NULL,'辽宁省','沈阳市','NULL');"
85,23,NULL,辽宁省,大连市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (85,23,NULL,'辽宁省','大连市','NULL');"
86,23,NULL,辽宁省,鞍山市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (86,23,NULL,'辽宁省','鞍山市','NULL');"
108,25,NULL,黑龙江省,齐齐哈尔市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (108,25,NULL,'黑龙江省','齐齐哈尔市','NULL');"
120,26,NULL,上海市,上海市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (120,26,NULL,'上海市','上海市','NULL');"
121,27,NULL,江苏省,南京市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (121,27,NULL,'江苏省','南京市','NULL');"
122,27,NULL,江苏省,无锡市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (122,27,NULL,'江苏省','无锡市','NULL');"
123,27,NULL,江苏省,徐州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (123,27,NULL,'江苏省','徐州市','NULL');"
124,27,NULL,江苏省,常州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (124,27,NULL,'江苏省','常州市','NULL');"
125,27,NULL,江苏省,苏州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (125,27,NULL,'江苏省','苏州市','NULL');"
126,27,NULL,江苏省,南通市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (126,27,NULL,'江苏省','南通市','NULL');"
128,27,NULL,江苏省,淮安市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (128,27,NULL,'江苏省','淮安市','NULL');"
129,27,NULL,江苏省,盐城市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (129,27,NULL,'江苏省','盐城市','NULL');"
130,27,NULL,江苏省,扬州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (130,27,NULL,'江苏省','扬州市','NULL');"
131,27,NULL,江苏省,镇江市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (131,27,NULL,'江苏省','镇江市','NULL');"
132,27,NULL,江苏省,泰州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (132,27,NULL,'江苏省','泰州市','NULL');"
134,28,NULL,浙江省,杭州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (134,28,NULL,'浙江省','杭州市','NULL');"
135,28,NULL,浙江省,宁波市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (135,28,NULL,'浙江省','宁波市','NULL');"
136,28,NULL,浙江省,温州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (136,28,NULL,'浙江省','温州市','NULL');"
137,28,NULL,浙江省,嘉兴市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (137,28,NULL,'浙江省','嘉兴市','NULL');"
138,28,NULL,浙江省,湖州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (138,28,NULL,'浙江省','湖州市','NULL');"
139,28,NULL,浙江省,绍兴市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (139,28,NULL,'浙江省','绍兴市','NULL');"
140,28,NULL,浙江省,金华市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (140,28,NULL,'浙江省','金华市','NULL');"
142,28,NULL,浙江省,舟山市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (142,28,NULL,'浙江省','舟山市','NULL');"
143,28,NULL,浙江省,台州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (143,28,NULL,'浙江省','台州市','NULL');"
145,29,NULL,安徽省,合肥市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (145,29,NULL,'安徽省','合肥市','NULL');"
146,29,NULL,安徽省,芜湖市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (146,29,NULL,'安徽省','芜湖市','NULL');"
147,29,NULL,安徽省,蚌埠市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (147,29,NULL,'安徽省','蚌埠市','NULL');"
148,29,NULL,安徽省,淮南市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (148,29,NULL,'安徽省','淮南市','NULL');"
149,29,NULL,安徽省,马鞍山市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (149,29,NULL,'安徽省','马鞍山市','NULL');"
151,29,NULL,安徽省,铜陵市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (151,29,NULL,'安徽省','铜陵市','NULL');"
153,29,NULL,安徽省,黄山市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (153,29,NULL,'安徽省','黄山市','NULL');"
154,29,NULL,安徽省,滁州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (154,29,NULL,'安徽省','滁州市','NULL');"
156,29,NULL,安徽省,宿州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (156,29,NULL,'安徽省','宿州市','NULL');"
158,29,NULL,安徽省,六安市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (158,29,NULL,'安徽省','六安市','NULL');"
159,29,NULL,安徽省,亳州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (159,29,NULL,'安徽省','亳州市','NULL');"
161,29,NULL,安徽省,宣城市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (161,29,NULL,'安徽省','宣城市','NULL');"
162,30,NULL,福建省,福州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (162,30,NULL,'福建省','福州市','NULL');"
163,30,NULL,福建省,厦门市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (163,30,NULL,'福建省','厦门市','NULL');"
164,30,NULL,福建省,莆田市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (164,30,NULL,'福建省','莆田市','NULL');"
165,30,NULL,福建省,三明市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (165,30,NULL,'福建省','三明市','NULL');"
166,30,NULL,福建省,泉州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (166,30,NULL,'福建省','泉州市','NULL');"
167,30,NULL,福建省,漳州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (167,30,NULL,'福建省','漳州市','NULL');"
168,30,NULL,福建省,南平市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (168,30,NULL,'福建省','南平市','NULL');"
169,30,NULL,福建省,龙岩市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (169,30,NULL,'福建省','龙岩市','NULL');"
170,30,NULL,福建省,宁德市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (170,30,NULL,'福建省','宁德市','NULL');"
171,31,NULL,江西省,南昌市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (171,31,NULL,'江西省','南昌市','NULL');"
172,31,NULL,江西省,景德镇市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (172,31,NULL,'江西省','景德镇市','NULL');"
173,31,NULL,江西省,萍乡市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (173,31,NULL,'江西省','萍乡市','NULL');"
174,31,NULL,江西省,九江市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (174,31,NULL,'江西省','九江市','NULL');"
175,31,NULL,江西省,新余市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (175,31,NULL,'江西省','新余市','NULL');"
176,31,NULL,江西省,鹰潭市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (176,31,NULL,'江西省','鹰潭市','NULL');"
177,31,NULL,江西省,赣州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (177,31,NULL,'江西省','赣州市','NULL');"
178,31,NULL,江西省,吉安市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (178,31,NULL,'江西省','吉安市','NULL');"
179,31,NULL,江西省,宜春市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (179,31,NULL,'江西省','宜春市','NULL');"
180,31,NULL,江西省,抚州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (180,31,NULL,'江西省','抚州市','NULL');"
181,31,NULL,江西省,上饶市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (181,31,NULL,'江西省','上饶市','NULL');"
182,32,NULL,山东省,济南市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (182,32,NULL,'山东省','济南市','NULL');"
183,32,NULL,山东省,青岛市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (183,32,NULL,'山东省','青岛市','NULL');"
184,32,NULL,山东省,淄博市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (184,32,NULL,'山东省','淄博市','NULL');"
187,32,NULL,山东省,烟台市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (187,32,NULL,'山东省','烟台市','NULL');"
188,32,NULL,山东省,潍坊市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (188,32,NULL,'山东省','潍坊市','NULL');"
191,32,NULL,山东省,威海市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (191,32,NULL,'山东省','威海市','NULL');"
194,32,NULL,山东省,临沂市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (194,32,NULL,'山东省','临沂市','NULL');"
199,33,NULL,河南省,郑州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (199,33,NULL,'河南省','郑州市','NULL');"
201,33,NULL,河南省,洛阳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (201,33,NULL,'河南省','洛阳市','NULL');"
206,33,NULL,河南省,焦作市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (206,33,NULL,'河南省','焦作市','NULL');"
208,33,NULL,河南省,许昌市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (208,33,NULL,'河南省','许昌市','NULL');"
216,34,NULL,湖北省,武汉市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (216,34,NULL,'湖北省','武汉市','NULL');"
217,34,NULL,湖北省,黄石市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (217,34,NULL,'湖北省','黄石市','NULL');"
218,34,NULL,湖北省,十堰市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (218,34,NULL,'湖北省','十堰市','NULL');"
219,34,NULL,湖北省,宜昌市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (219,34,NULL,'湖北省','宜昌市','NULL');"
220,34,NULL,湖北省,襄阳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (220,34,NULL,'湖北省','襄阳市','NULL');"
221,34,NULL,湖北省,鄂州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (221,34,NULL,'湖北省','鄂州市','NULL');"
222,34,NULL,湖北省,荆门市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (222,34,NULL,'湖北省','荆门市','NULL');"
223,34,NULL,湖北省,孝感市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (223,34,NULL,'湖北省','孝感市','NULL');"
224,34,NULL,湖北省,荆州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (224,34,NULL,'湖北省','荆州市','NULL');"
225,34,NULL,湖北省,黄冈市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (225,34,NULL,'湖北省','黄冈市','NULL');"
226,34,NULL,湖北省,咸宁市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (226,34,NULL,'湖北省','咸宁市','NULL');"
227,34,NULL,湖北省,随州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (227,34,NULL,'湖北省','随州市','NULL');"
228,34,NULL,湖北省,恩施土家族苗族自治州,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (228,34,NULL,'湖北省','恩施土家族苗族自治州','NULL');"
230,35,NULL,湖南省,长沙市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (230,35,NULL,'湖南省','长沙市','NULL');"
231,35,NULL,湖南省,株洲市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (231,35,NULL,'湖南省','株洲市','NULL');"
232,35,NULL,湖南省,湘潭市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (232,35,NULL,'湖南省','湘潭市','NULL');"
233,35,NULL,湖南省,衡阳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (233,35,NULL,'湖南省','衡阳市','NULL');"
234,35,NULL,湖南省,邵阳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (234,35,NULL,'湖南省','邵阳市','NULL');"
235,35,NULL,湖南省,岳阳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (235,35,NULL,'湖南省','岳阳市','NULL');"
236,35,NULL,湖南省,常德市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (236,35,NULL,'湖南省','常德市','NULL');"
237,35,NULL,湖南省,张家界市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (237,35,NULL,'湖南省','张家界市','NULL');"
238,35,NULL,湖南省,益阳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (238,35,NULL,'湖南省','益阳市','NULL');"
239,35,NULL,湖南省,郴州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (239,35,NULL,'湖南省','郴州市','NULL');"
240,35,NULL,湖南省,永州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (240,35,NULL,'湖南省','永州市','NULL');"
241,35,NULL,湖南省,怀化市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (241,35,NULL,'湖南省','怀化市','NULL');"
242,35,NULL,湖南省,娄底市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (242,35,NULL,'湖南省','娄底市','NULL');"
243,35,NULL,湖南省,湘西土家族苗族自治州,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (243,35,NULL,'湖南省','湘西土家族苗族自治州','NULL');"
244,36,NULL,广东省,广州市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (244,36,NULL,'广东省','广州市','NULL');"
245,36,NULL,广东省,韶关市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (245,36,NULL,'广东省','韶关市','NULL');"
246,36,NULL,广东省,深圳市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (246,36,NULL,'广东省','深圳市','NULL');"
247,36,NULL,广东省,珠海市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (247,36,NULL,'广东省','珠海市','NULL');"
248,36,NULL,广东省,汕头市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (248,36,NULL,'广东省','汕头市','NULL');"
249,36,NULL,广东省,佛山市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (249,36,NULL,'广东省','佛山市','NULL');"
250,36,NULL,广东省,江门市,NULL,"INSERT INTO sf_area(area_id,province_id,city_id,province_name,city_name,area_name) VALUES (250,36,NULL,'广东省','江门市','NULL');"
